name,types,rating,price_level,city,latitude,longitude,has_website
Teatro Boutique Hotel,'lodging',3.9,1.7818181818181817,Baku,40.4096019,49.86240189999999,True
Hotel Emerald Baku,'lodging',3.5,1.7818181818181817,Baku,40.4149926,49.924212,True
Altus Hotel,'gym',3.8,1.7818181818181817,Baku,40.4097949,49.86150609999999,True
Pizza Inn,'restaurant',4.0,2.0,Baku,40.3713206,49.8379924,True
Egoist Hotel and Restaurant,'lodging',3.7,1.7818181818181817,Baku,40.3838026,49.8409367,True
McDonald's Fountains Square,'restaurant',4.1,2.0,Baku,40.3717613,49.8377039,True
Bin Bir Tadım Döner,'restaurant',3.8,2.0,Baku,40.4037191,49.8716368,True
Tonqal Restoranı,'restaurant',4.2,2.0,Baku,40.4016129,49.8468504,True
Cıdır Restoran,'restaurant',4.1,1.7818181818181817,Baku,40.40944470000001,49.8386635,True
Şuşa,'restaurant',4.2,2.0,Baku,40.3911814,49.85527200000001,True
Chili's,'restaurant',4.3,1.7818181818181817,Baku,40.3875756,49.84636009999999,True
Bella Pizza,'restaurant',4.4,1.7818181818181817,Baku,40.4092617,49.8670925,True
Künefe Evi,'restaurant',3.9,1.7818181818181817,Baku,40.4092683,49.8671078,True
Buyukfirat,'restaurant',3.9,1.7818181818181817,Baku,40.4032302,49.8709251,True
Mado,'restaurant',4.1,2.0,Baku,40.4024455,49.8694304,True
New York Pizza BAKU,'meal_delivery',4.6,1.0,Baku,40.40508839999999,49.8594993,True
Villa Fresh Italian Kitchen,'store',3.5,1.7818181818181817,Baku,40.40346429999999,49.87329749999999,True
"""Gənclik"" şadlıq sarayı",'restaurant',4.1,2.0,Baku,40.4022855,49.8613644,True
Domino's Pizza,'meal_delivery',4.1,2.0,Baku,40.4031941,49.8563121,True
NovBahar,'restaurant',4.4,1.7818181818181817,Baku,40.4027365,49.856742,True
Pizza Mizza Nərimanov,'restaurant',4.2,1.7818181818181817,Baku,40.3976318,49.8697257,True
Garden Restaurant,'restaurant',2.9,1.7818181818181817,Baku,40.4173713,49.85557179999999,True
Elvet Steakhouse,'restaurant',4.1,3.0,Baku,40.3968149,49.87029709999999,True
Vinni Kafe Pizza,'restaurant',5.0,1.7818181818181817,Baku,40.3980006,49.8766597,True
Vapiano,'restaurant',4.1,1.7818181818181817,Baku,40.4001694,49.8530704,True
JUMA Restaurant & Sushi Bar,'meal_delivery',4.6,1.7818181818181817,Baku,40.4198424,49.8548945,True
Özsüt Ganjlik Mall,'restaurant',4.0,1.7818181818181817,Baku,40.39975039999999,49.8521788,True
Papa John's Gənclik,'meal_delivery',4.3,2.0,Baku,40.4021075,49.8497545,True
Rumya hotel & restaurant,'restaurant',4.6,1.7818181818181817,Baku,40.40688089999999,49.8866409,True
EMILAND / ROOMS,'restaurant',4.4,1.7818181818181817,Baku,40.41030809999999,49.846811,True
Gilavar,'restaurant',4.4,1.7818181818181817,Baku,40.39622449999999,49.8554786,True
Villa Italian Kitchen,'store',5.0,1.7818181818181817,Baku,40.4137072,49.8467784,True
McDonald's,'restaurant',4.2,2.0,Baku,40.3995954,49.8498496,True
"Ресторан ""Чанаккала""",'restaurant',4.3,2.0,Baku,40.3932736,49.8560844,True
Kürə Pizza,'restaurant',4.5,1.7818181818181817,Baku,40.4185448,49.8448937,True
Həyat Şadlıq sarayı,'restaurant',4.3,2.0,Baku,40.41709710000001,49.8429208,True
Retro Şam Restoranı,'restaurant',4.2,1.7818181818181817,Baku,40.4226489,49.8467071,True
High Boost,'restaurant',4.3,1.7818181818181817,Baku,40.38827819999999,49.8685417,True
"Ot Janny, ot Jannı, Janna, от Жанны, Жанна",'restaurant',4.4,1.7818181818181817,Baku,40.4022778,49.8401478,True
Otdix,'restaurant',4.4,2.0,Baku,40.3822464,49.8622162,True
PetersHof Restoran,'restaurant',4.2,1.7818181818181817,Baku,40.3914793,49.85006600000001,True
COCO Lounge Baku,'restaurant',4.6,1.7818181818181817,Baku,40.396237,49.8430543,True
Qoç Ət (Azadlıq filialı),'restaurant',4.2,1.7818181818181817,Baku,40.4172348,49.8392707,True
TROYA Pub & Restaurant,'restaurant',4.2,1.7818181818181817,Baku,40.4058835,49.83619239999999,True
Zoğal Restaurant,'restaurant',4.3,4.0,Baku,40.3943315,49.84238149999999,True
"""Karona"" Ailevi Restoran",'restaurant',3.3,1.7818181818181817,Baku,40.4322623,49.8562977,True
Beerinci,'restaurant',4.300743494423792,1.7818181818181817,Baku,40.3926416,49.8429983,True
Restaurant Shah,'restaurant',4.6,2.0,Baku,40.3852952,49.87620889999999,True
"Кафе-Ресторан ""Qelebe 70""",'restaurant',3.9,1.7818181818181817,Baku,40.388529,49.84770839999999,True
Soloha,'restaurant',4.5,2.0,Baku,40.39067110000001,49.84369479999999,True
Yuka Kaiten Sushi,'restaurant',4.4,1.7818181818181817,Baku,40.3818142,49.8668147,True
Akhalil Arabian Restaurant,'restaurant',4.1,1.7818181818181817,Baku,40.3817128,49.86868,True
Mətin şadlıq sarayı,'restaurant',4.2,2.0,Baku,40.4226451,49.8349376,True
Cafe Park Chinar,'restaurant',4.5,1.7818181818181817,Baku,40.4279782,49.83972869999999,True
Niaqara,'restaurant',4.2,2.0,Baku,40.4008564,49.83155939999999,True
Hollywood Platinium Cinema Club,'restaurant',4.3,1.7818181818181817,Baku,40.388389,49.84158009999999,True
Sultan Food (Tibb Universitet),'restaurant',4.2,1.7818181818181817,Baku,40.39608269999999,49.8338042,True
Salam Aleykum,'restaurant',4.0,2.0,Baku,40.3815409,49.8765173,True
Ocaq Chay Evi / Restoran,'restaurant',3.0,1.7818181818181817,Baku,40.3803095,49.859552,True
Sweet Diett,'restaurant',1.0,1.7818181818181817,Baku,40.38473169999999,49.84489489999999,True
Pit Stop,'cafe',5.0,1.7818181818181817,Baku,40.3892418,49.8760139,True
Narzan Cay Evi,'cafe',3.7,1.7818181818181817,Baku,40.4055065,49.8679318,True
New York Pizza BAKU,'meal_delivery',4.6,1.0,Baku,40.40508839999999,49.8594993,True
Region BookCoffe,'cafe',4.5,1.7818181818181817,Baku,40.4000004,49.8698337,True
Özsüt Cafe & Restaurant,'cafe',4.1,2.0,Baku,40.40211489999999,49.85037560000001,True
Green Cafe,'cafe',4.5,2.0,Baku,40.3923029,49.8560109,True
Cayka,'cafe',4.300743494423792,1.7818181818181817,Baku,40.4323485,49.855884,True
@DÖNƏR,'cafe',2.3,1.7818181818181817,Baku,40.3968083,49.83408499999999,True
Baku Cafe,'restaurant',4.2,2.0,Baku,40.37619299999999,49.861214,True
Kafe Əziz Qardaş,'cafe',4.4,1.7818181818181817,Baku,40.4365539,49.8406769,True
Starbucks PortBaku,'cafe',4.3,1.7818181818181817,Baku,40.3753324,49.8611474,True
Khamsa Tea House,'cafe',4.5,1.0,Baku,40.378236,49.847201,True
Coppola Cafe,'cafe',3.0,1.7818181818181817,Baku,40.38702070000001,49.8321857,True
Pi art Cafe,'cafe',4.8,1.7818181818181817,Baku,40.3797201,49.8429677,True
Entrée 1 (28 May),'cafe',4.5,1.7818181818181817,Baku,40.37741089999999,49.8474471,True
Sultan Food,'meal_delivery',3.9,1.7818181818181817,Baku,40.377292,49.847131,True
SARA Bistro,'cafe',4.3,1.7818181818181817,Baku,40.3756594,49.8407376,True
J’adore,'cafe',4.3,1.7818181818181817,Baku,40.3842697,49.82739359999999,True
W-coffee,'cafe',3.7,1.7818181818181817,Baku,40.38440180000001,49.8266043,True
Galleriya Cafe&Pub,'cafe',4.0,1.7818181818181817,Baku,40.37375949999999,49.8440079,True
90'lar Cafe,'cafe',4.7,1.0,Baku,40.3750355,49.839804,True
Symphony music Cafe,'cafe',4.300743494423792,1.7818181818181817,Baku,40.375162,49.8392488,True
Choco Cafe,'cafe',4.5,1.7818181818181817,Baku,40.37331409999999,49.8431684,True
ALBAN Musicbar & Cafe,'cafe',4.4,1.7818181818181817,Baku,40.3741982,49.8385347,True
Simit Sarayı,'cafe',4.1,2.0,Baku,40.3731938,49.840133,True
CafeCity Five,'cafe',4.5,2.0,Baku,40.3840635,49.8236926,True
Absheron Cafe & Lounge,'cafe',3.7,1.7818181818181817,Baku,40.37016,49.8478222,True
Old School,'cafe',4.5,2.0,Baku,40.3740014,49.8367157,True
Entrée 5 (Statistika),'cafe',4.4,1.7818181818181817,Baku,40.3826128,49.8239259,True
Kavalove Coffee Company,'cafe',4.2,1.7818181818181817,Baku,40.3725663,49.8383624,True
Entrée 2 (Torgovaya),'cafe',4.5,1.7818181818181817,Baku,40.37196910000001,49.8390243,True
Gazelli Cafe,'cafe',4.3,1.7818181818181817,Baku,40.37435159999999,49.8449295,True
Vom4.cafe,'restaurant',4.6,1.7818181818181817,Baku,40.4287097,49.91884529999999,True
Chocolatier,'cafe',4.5,1.0,Baku,40.3702652,49.8389078,True
Coffee Moffie,'cafe',4.5,1.7818181818181817,Baku,40.3717159,49.83533749999999,True
Demde Lounge,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.86710769999999,True
Gilevar Kafe,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.86710769999999,True
VF-Parts,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.86710769999999,True
La Vita,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.86710769999999,True
Blaze Karaoke,'cafe',3.0,1.7818181818181817,Baku,40.40926839999999,49.86710769999999,True
JB COFFEE POINT,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
Görüş kafesi,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
Kudretoğlu Antep Baklavasi,'cafe',5.0,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
Cafe du monde,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
lokmazza,'cafe',5.0,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
Cup of Joy,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40926839999999,49.8671078,True
Alpini Coffee,'cafe',4.6,1.7818181818181817,Baku,40.4093885,49.8666253,True
Limon çay evi,'cafe',4.300743494423792,1.7818181818181817,Baku,40.4082244,49.8687968,True
"""Good food by ABAD"" Nərimanov filiali",'cafe',5.0,1.7818181818181817,Baku,40.409138,49.8647577,True
Minera Tea Lounge,'cafe',4.8,1.7818181818181817,Baku,40.409138,49.8647577,True
011 VIP CLUB,'cafe',5.0,1.7818181818181817,Baku,40.4087234,49.8702166,True
Coffeechino,'cafe',5.0,1.7818181818181817,Baku,40.4088456,49.86375659999999,True
Oxford Sandwich & Coffee,'cafe',4.7,1.7818181818181817,Baku,40.40815679999999,49.8707242,True
Dr.Omar Bey,'cafe',4.300743494423792,1.7818181818181817,Baku,40.410555,49.87117889999999,True
Kiosk Coffee,'cafe',4.300743494423792,1.7818181818181817,Baku,40.4101669,49.8625479,True
Riviyera Cay Evi,'cafe',4.300743494423792,1.7818181818181817,Baku,40.4059989,49.8688867,True
ÇAYQARA PUB & ÇAY EVİ,'cafe',3.7,1.7818181818181817,Baku,40.4059867,49.8690167,True
Tünaydın,'cafe',4.300743494423792,1.7818181818181817,Baku,40.40618789999999,49.8698442,True
Salam Baku Lounge,'cafe',4.0,1.7818181818181817,Baku,40.4055384,49.86725550000001,True
Nənəmin Təndiri,'cafe',4.0,1.7818181818181817,Baku,40.4060779,49.8696728,True
Ottoman Döner,'restaurant',3.9,1.7818181818181817,Ganja,40.681823,46.3586524,True
Furor Restaurant and Pub,'bar',4.3,1.7818181818181817,Ganja,40.684155,46.3623077,True
ZOLOTOY KAFE,'cafe',4.4,1.0,Ganja,40.679087,46.360358,True
Firdevs şirniyyat,'restaurant',4.3,1.7818181818181817,Ganja,40.6780107,46.3730443,True
Köhnə məhəllə,'restaurant',4.3,1.7818181818181817,Ganja,40.6823433,46.36129589999999,True
Sevimli Cafe,'restaurant',5.0,1.7818181818181817,Ganja,40.6823044,46.36152320000001,True
Blue Clouds Restaurant & Cafe,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.68200210000001,46.36122109999999,True
MEGA AKS,'meal_takeaway',5.0,1.7818181818181817,Ganja,40.6818525,46.3607946,True
Köfteci İbo,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.68262929999999,46.3591095,True
Neptun Kafe,'restaurant',4.1,1.7818181818181817,Ganja,40.6825102,46.36216710000001,True
Lookantta,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.6817858,46.35975409999999,True
Qutab N1,'restaurant',5.0,1.7818181818181817,Ganja,40.6831857,46.3590898,True
Pizza N1,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.6832169,46.3590384,True
Sevimli Kafe,'restaurant',3.9,1.7818181818181817,Ganja,40.6818999,46.3618539,True
Fabella Cafe Lounge,'restaurant',5.0,1.7818181818181817,Ganja,40.6814765,46.3597979,True
Tantuni,'restaurant',5.0,1.7818181818181817,Ganja,40.68309289999999,46.36277019999999,True
Osmanlı Türk Restoranı,'restaurant',4.5,1.7818181818181817,Ganja,40.68189929999999,46.35876379999999,True
Alaturka Kafe,'restaurant',4.3,1.7818181818181817,Ganja,40.68379669999999,46.3627381,True
Takeshi Sushi Bar,'restaurant',4.3,1.7818181818181817,Ganja,40.6838212,46.36274929999999,True
Pak Ət Doner Kabab Restoran Gəncə,'restaurant',4.7,1.7818181818181817,Ganja,40.6814987,46.358567,True
Afiyet olsun,'restaurant',4.3,1.7818181818181817,Ganja,40.6811811,46.3629591,True
Restoran Nostalji Gəncə,'restaurant',3.5,1.7818181818181817,Ganja,40.68270179999999,46.3574274,True
Chinar Restaurant,'restaurant',4.0,1.7818181818181817,Ganja,40.67991719999999,46.36091529999999,True
Leon Restoran,'restaurant',5.0,1.7818181818181817,Ganja,40.68581089999999,46.3615363,True
Epikür Bağı,'restaurant',4.1,1.7818181818181817,Ganja,40.6793464,46.3605519,True
SKOBUCKS KVAS,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.6867968,46.3609587,True
Domino's Pizza Gəncə,'restaurant',4.5,2.0,Ganja,40.67878669999999,46.3602624,True
Shaurma N1 Gence,'restaurant',3.9,1.7818181818181817,Ganja,40.6784562,46.3592474,True
Wolt uşaqları ürekdi,'restaurant',5.0,1.7818181818181817,Ganja,40.67847,46.359155,True
Vego Cafe,'restaurant',3.6,1.7818181818181817,Ganja,40.6784396,46.3591035,True
Xach Cafe,'restaurant',4.300743494423792,1.7818181818181817,Ganja,40.6810451,46.35504239999999,True
tahiroglu.restoran,'restaurant',4.6,1.7818181818181817,Ganja,40.6784246,46.3573753,True
Aşxana Muzey Restoran,'restaurant',4.3,1.7818181818181817,Ganja,40.6794056,46.3655924,True
Göy sumkalı banditlər,'restaurant',3.0,1.7818181818181817,Ganja,40.677686,46.3600315,True
