name,address,location,place_id,types,rating,price_level,opening_hours,city,phone_number,website
Teatro Boutique Hotel,"1 Əhməd Rəcəbli, Bakı","{'lat': 40.4096019, 'lng': 49.86240189999999}",ChIJeYfUj1Z9MEARqQdgDS8yzJ4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.9,,,Baku,(012) 464 81 00,http://www.teatrohotel.az/
Hotel Emerald Baku,"CW7F+VMX, Mehdi Abbasov, Baku","{'lat': 40.4149926, 'lng': 49.924212}",ChIJ5cpqKvJiMEARLSWFnRU8Cl8,"['lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.5,,,Baku,055 762 64 94,http://www.emeraldbaku.com/
Altus Hotel,"2, 16 Əhməd Rəcəbli, Bakı","{'lat': 40.4097949, 'lng': 49.86150609999999}",ChIJS4Ct7UV9MEAR6Rauy9uI_gQ,"['gym', 'lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']",3.8,,,Baku,(012) 404 76 07,http://www.altushotelbaku.com/
Pizza Inn,"Fountain Square, 8, Bakı","{'lat': 40.3713206, 'lng': 49.8379924}",ChIJYREc57B9MEARMhQIhUeug70,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,2.0,,Baku,(012) 493 82 16,https://pizzainn.az/
Egoist Hotel and Restaurant,"35, Shevgi, 1000, Nizami Abdullayev Street, Bakı","{'lat': 40.3838026, 'lng': 49.8409367}",ChIJ6d_7FqB9MEAR6JGOJADKAsQ,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.7,,,Baku,(012) 597 10 56,
McDonald's Fountains Square,"340 Nizami Street, Baku","{'lat': 40.3717613, 'lng': 49.8377039}",ChIJA28k7LB9MEARSfSDHFgxsPU,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,2.0,,Baku,(012) 498 19 89,http://www.mcdonalds.az/
Bin Bir Tadım Döner,"50 Ağa Neymətulla, Bakı","{'lat': 40.4037191, 'lng': 49.8716368}",ChIJwXGykk59MEAR5Hp95Re9HSI,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.8,2.0,,Baku,(012) 555 22 79,
Tonqal Restoranı,"Hasan Aliyev Street, Baku","{'lat': 40.4016129, 'lng': 49.8468504}",ChIJ4fqq0mB9MEARC4XCPh4_lvE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.2,2.0,,Baku,(012) 465 41 85,
Cıdır Restoran,"22 Nəcəf Nərmanov, Bakı","{'lat': 40.40944470000001, 'lng': 49.8386635}",ChIJQR9Fn_SHMEARz65fMcV8tHU,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,,,Baku,077 333 33 95,
Şuşa,"14 Talat Shikhaliyev, Baku","{'lat': 40.3911814, 'lng': 49.85527200000001}",ChIJPRIWx2x9MEAR9PODmZpJitw,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.2,2.0,,Baku,055 405 96 17,http://shadliq.az/restaurant/susa-sadliq-sarayi/
Chili's,"36,, str. Daghistan Daghistan, Bakı","{'lat': 40.3875756, 'lng': 49.84636009999999}",ChIJ1zJQW3N9MEARWh4DYacgfBI,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.3,,,Baku,(012) 440 81 55,
Bella Pizza,"61A S.Vurğun küç., Bakı","{'lat': 40.4092617, 'lng': 49.8670925}",ChIJ8_GMZqV9MEARGpGKAVcmL7Q,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.4,,,Baku,(012) 493 97 17,
Künefe Evi,"CV58+PR5, Baku","{'lat': 40.4092683, 'lng': 49.8671078}",ChIJKbccxLZ9MEARlG2G18P81LU,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.9,,,Baku,050 728 77 60,
Buyukfirat,"106 Təbriz küçəsi, Bakı","{'lat': 40.4032302, 'lng': 49.8709251}",ChIJFf_i5k59MEAR_4Vw89wy9Uo,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.9,,,Baku,(012) 465 82 43,
Mado,"Əhməd Rəcəbli 3, 179 Tabriz Street, Baku","{'lat': 40.4024455, 'lng': 49.8694304}",ChIJdUQ8FE99MEAR9jrEW4n7hC8,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,2.0,,Baku,051 330 02 10,
New York Pizza BAKU,"133 Həsən Əliyev Küçəsi, Bakı","{'lat': 40.40508839999999, 'lng': 49.8594993}",ChIJI9F8W1p9MEARSOTMB4Sc2n0,"['meal_delivery', 'meal_takeaway', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,1.0,,Baku,,
Villa Fresh Italian Kitchen,"44 Təbriz küçəsi, Bakı","{'lat': 40.40346429999999, 'lng': 49.87329749999999}",ChIJ3WVRpU59MEARRjlW9GIOG3s,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.5,,,Baku,(012) 555 09 25,https://locations.villaitaliankitchen.com/az/azerbaijan/baku/tabriz-str--44.html?utm_source=Yext&utm_medium=Local&utm_campaign=Website&y_source=1_MzUwOTU4Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ==
"""Gənclik"" şadlıq sarayı","CV26+QW4, 146 Fətəli Xan Xoyski, Bakı","{'lat': 40.4022855, 'lng': 49.8613644}",ChIJ9bpI0ER9MEAR682Ta987OB4,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,2.0,,Baku,077 305 68 91,http://shadliq.az/restaurant/genclik-sadliq-sarayi/
Domino's Pizza,"3 Koroğlu Rəhimov küçəsi, Bakı","{'lat': 40.4031941, 'lng': 49.8563121}",ChIJXakxgFt9MEARWoOVb-7Jwz8,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,2.0,,Baku,(012) 210 22 93,https://dominospizza.az/
NovBahar,"3A Koroğlu Rəhimov küçəsi, Bakı","{'lat': 40.4027365, 'lng': 49.856742}",ChIJTzDIglx9MEARcYKMINtzrPE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.4,,,Baku,077 444 99 07,https://www.novbahar.az/
Pizza Mizza Nərimanov,"4 Həsənoğlu, Bakı","{'lat': 40.3976318, 'lng': 49.8697257}",ChIJ12RxTUR9MEARa1DJdayV--U,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.2,,,Baku,050 245 14 15,http://www.pizzamizza.az/
Garden Restaurant,"CV84+W6W, Səttar Bəhlulzadə, Bakı","{'lat': 40.4173713, 'lng': 49.85557179999999}",ChIJm1Nsq_2HMEARwuSS11LskAM,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.9,,,Baku,(012) 561 61 64,
Elvet Steakhouse,"9VWC+P4F, Hasanoghlu, Bakı","{'lat': 40.3968149, 'lng': 49.87029709999999}",ChIJL2lGY0d9MEARHnGbpmnVPyU,"['restaurant', 'store', 'food', 'point_of_interest', 'establishment']",4.1,3.0,,Baku,(012) 567 64 64,http://www.elvetsteakhouse.com/
Vinni Kafe Pizza,"68c Arif Heydərov, Bakı","{'lat': 40.3980006, 'lng': 49.8766597}",ChIJm7O76jd9MEARnFmOVtSpShk,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,,Baku,055 299 03 20,
Vapiano,"Ganjlik Mall, Fətəli Xan Xoyski, Bakı","{'lat': 40.4001694, 'lng': 49.8530704}",ChIJsdzKRF19MEARCPEQ1QQk3wM,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,,,Baku,(012) 599 15 05,http://vapiano.com/
